,电影ID,时间,当前热度值,新增热度值,当前点击量,新增点击量,当前评论数,新增评论数,当前点赞数,新增点赞数,当前踩数,新增踩数,当前评分数,推广位,影片推广位等级,当前小时弹幕数,当前小时新增弹幕数,当前小时评分人数,当前小时新增评分人数,当前小时五星评分人数,当前小时四星评分人数,当前小时三星评分人数,当前小时二星评分人数,当前小时一星评分人数,当日爱奇艺播放指数,影片上线时间,导演,编剧,制片,美术,主演
1215364,33638,2018-09-26 00:00:00,1845.0,0.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68679.0,1.0,47517.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215365,33638,2018-09-26 01:00:00,1845.0,0.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,1.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215366,33638,2018-09-26 02:00:00,1845.0,0.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,0.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215367,33638,2018-09-26 03:00:00,1844.0,-1.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,0.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215368,33638,2018-09-26 04:00:00,1844.0,0.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,0.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215369,33638,2018-09-26 05:00:00,1843.0,-1.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,0.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215370,33638,2018-09-26 06:00:00,1842.0,-1.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,0.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215371,33638,2018-09-26 07:00:00,1843.0,1.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,0.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215372,33638,2018-09-26 08:00:00,1843.0,0.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,0.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
1215373,33638,2018-09-26 09:00:00,1844.0,1.0,0.0,0.0,989.0,0.0,1206.0,0.0,756.0,0.0,790.0,无,c,620.0,0.0,68680.0,0.0,47518.0,6053.0,7240.0,2315.0,5554.0,69.0,2016-12-11 15:30:13,"王洋,王稀,贺琦,于帆","王稀,刘妍,向尧惟,彭蕴睿","苏苏,张晨淹,刘春萌,刘和永",,"田甜,刘云峰,杨盛棋,王子文"
